customer_city,customer_state,orders,total_revenue,pct_of_total_revenue,cumulative_pct_revenue,revenue_rank
sao paulo,SP,15045,1859556.83,14.06,14.06,1
rio de janeiro,RJ,6601,955573.97,7.23,21.29,2
belo horizonte,MG,2697,346039.04,2.62,23.91,3
brasilia,DF,2071,295814.72,2.24,26.15,4
curitiba,PR,1489,205999.33,1.56,27.7,5
campinas,SP,1406,184657.87,1.4,29.1,6
porto alegre,RS,1342,182319.55,1.38,30.48,7
salvador,BA,1188,173273.05,1.31,31.79,8
guarulhos,SP,1144,139008.19,1.05,32.84,9
niteroi,RJ,825,115890.26,0.88,33.72,10
sao bernardo do campo,SP,911,102514.23,0.78,34.49,11
santos,SP,700,98349.4,0.74,35.24,12
goiania,GO,660,96547.85,0.73,35.97,13
fortaleza,CE,618,93269.67,0.71,36.67,14
santo andre,SP,777,89380.83,0.68,37.35,15
recife,PE,593,85186.33,0.64,37.99,16
florianopolis,SC,556,84043.85,0.64,38.63,17
osasco,SP,724,80820.34,0.61,39.24,18
jundiai,SP,549,80398.04,0.61,39.85,19
belem,PA,428,78002.75,0.59,40.44,20
sao jose dos campos,SP,667,75425.31,0.57,41.01,21
sorocaba,SP,609,74638.18,0.56,41.57,22
ribeirao preto,SP,499,64672.27,0.49,42.06,23
juiz de fora,MG,423,64456.78,0.49,42.55,24
nova iguacu,RJ,423,58217.83,0.44,42.99,25
campo grande,MS,312,56513.68,0.43,43.42,26
vitoria,ES,373,52038.6,0.39,43.81,27
joao pessoa,PB,245,51502.15,0.39,44.2,28
sao goncalo,RJ,385,50833.27,0.38,44.59,29
mogi das cruzes,SP,374,50295.68,0.38,44.97,30
sao luis,MA,335,50141.82,0.38,45.35,31
barueri,SP,419,49995.71,0.38,45.72,32
piracicaba,SP,356,49173.47,0.37,46.1,33
teresina,PI,271,49028.57,0.37,46.47,34
contagem,MG,415,48561.04,0.37,46.83,35
uberlandia,MG,367,47560.57,0.36,47.19,36
vila velha,ES,326,46895.83,0.35,47.55,37
sao jose do rio preto,SP,329,46669.73,0.35,47.9,38
londrina,PR,298,45867.97,0.35,48.25,39
maceio,AL,236,43592.59,0.33,48.58,40
maua,SP,317,43360.96,0.33,48.91,41
bauru,SP,263,38903.69,0.29,49.2,42
praia grande,SP,296,38303.17,0.29,49.49,43
cuiaba,MT,243,38178.84,0.29,49.78,44
maringa,PR,260,37299.2,0.28,50.06,45
indaiatuba,SP,274,36862.6,0.28,50.34,46
caxias do sul,RS,220,36033.19,0.27,50.61,47
natal,RN,203,35751.38,0.27,50.88,48
serra,ES,278,35184.07,0.27,51.15,49
divinopolis,MG,132,34932.97,0.26,51.41,50
taboao da serra,SP,284,34740.69,0.26,51.68,51
aracaju,SE,213,34485.94,0.26,51.94,52
joinville,SC,257,34399.99,0.26,52.2,53
marilia,SP,194,33664.13,0.25,52.45,54
volta redonda,RJ,227,33329.1,0.25,52.7,55
duque de caxias,RJ,250,32769.23,0.25,52.95,56
campos dos goytacazes,RJ,232,32413.58,0.25,53.2,57
petropolis,RJ,234,32247.68,0.24,53.44,58
sao caetano do sul,SP,272,32159.8,0.24,53.68,59
carapicuiba,SP,316,31769.85,0.24,53.92,60
santa maria,RS,193,31644.82,0.24,54.16,61
macae,RJ,228,30525.43,0.23,54.39,62
cotia,SP,242,29713.74,0.22,54.62,63
sao carlos,SP,231,29511.11,0.22,54.84,64
taubate,SP,260,28887.1,0.22,55.06,65
guaruja,SP,217,28878.39,0.22,55.28,66
diadema,SP,276,28839.98,0.22,55.5,67
betim,MG,196,27863.71,0.21,55.71,68
nova friburgo,RJ,142,27345.1,0.21,55.91,69
uberaba,MG,186,27338.65,0.21,56.12,70
feira de santana,BA,181,26694.2,0.2,56.32,71
canoas,RS,205,26470.14,0.2,56.52,72
montes claros,MG,207,25967.15,0.2,56.72,73
presidente prudente,SP,157,25517.329999999998,0.19,56.91,74
suzano,SP,230,24549.9,0.19,57.1,75
americana,SP,216,24462.18,0.19,57.28,76
blumenau,SC,181,24240.08,0.18,57.47,77
cascavel,PR,146,23275.82,0.18,57.64,78
santana de parnaiba,SP,178,23029.75,0.17,57.82,79
limeira,SP,186,22804.26,0.17,57.99,80
pelotas,RS,183,22257.23,0.17,58.16,81
valinhos,SP,181,22101.75,0.17,58.32,82
franca,SP,154,22015.55,0.17,58.49,83
porto velho,RO,108,21890.55,0.17,58.66,84
ipatinga,MG,169,21797.42,0.16,58.82,85
sumare,SP,178,21274.11,0.16,58.98,86
pouso alegre,MG,128,21181.45,0.16,59.14,87
jaboatao dos guararapes,PE,131,21143.17,0.16,59.3,88
nova lima,MG,96,20815.15,0.16,59.46,89
manaus,AM,137,20451.56,0.15,59.62,90
atibaia,SP,154,20343.73,0.15,59.77,91
sao jose,SC,167,20251.46,0.15,59.92,92
braganca paulista,SP,144,20127.62,0.15,60.07,93
embu das artes,SP,157,19998.78,0.15,60.23,94
araraquara,SP,150,19871.85,0.15,60.38,95
rio claro,SP,151,19555.58,0.15,60.52,96
rio das ostras,RJ,130,18998.99,0.14,60.67,97
sao vicente,SP,157,18969.19,0.14,60.81,98
itaquaquecetuba,SP,168,18889.92,0.14,60.95,99
barra mansa,RJ,119,18698.98,0.14,61.1,100
itajai,SC,119,18698.57,0.14,61.24,101
angra dos reis,RJ,83,18693.24,0.14,61.38,102
gravatai,RS,111,18591.02,0.14,61.52,103
ponta grossa,PR,141,18573.48,0.14,61.66,104
itapevi,SP,170,18348.91,0.14,61.8,105
governador valadares,MG,134,18106.35,0.14,61.93,106
jacarei,SP,189,18055.78,0.14,62.07,107
sao joao de meriti,RJ,124,17777.56,0.13,62.21,108
ananindeua,PA,85,17709.44,0.13,62.34,109
novo hamburgo,RS,121,17547.13,0.13,62.47,110
palmas,TO,88,17420.62,0.13,62.6,111
campina grande,PB,67,17410.54,0.13,62.74,112
sete lagoas,MG,126,17263.35,0.13,62.87,113
anapolis,GO,111,17129.88,0.13,63.0,114
teresopolis,RJ,119,17115.29,0.13,63.13,115
botucatu,SP,100,17104.51,0.13,63.25,116
araruama,RJ,74,16889.31,0.13,63.38,117
patos de minas,MG,99,16726.98,0.13,63.51,118
balneario camboriu,SC,97,16609.33,0.13,63.63,119
aracatuba,SP,138,16589.39,0.13,63.76,120
paulinia,SP,127,16475.05,0.12,63.88,121
cariacica,ES,135,16386.68,0.12,64.01,122
vitoria da conquista,BA,88,16234.2,0.12,64.13,123
hortolandia,SP,142,16225.15,0.12,64.25,124
rio grande,RS,121,16189.98,0.12,64.38,125
vicosa,MG,87,16052.35,0.12,64.5,126
cabo frio,RJ,113,16016.52,0.12,64.62,127
cachoeiro de itapemirim,ES,121,15871.63,0.12,64.74,128
pocos de caldas,MG,116,15620.68,0.12,64.86,129
ferraz de vasconcelos,SP,109,15549.53,0.12,64.98,130
marica,RJ,133,15216.26,0.12,65.09,131
passo fundo,RS,112,15163.71,0.11,65.2,132
chapeco,SC,101,15106.11,0.11,65.32,133
sao jose dos pinhais,PR,130,14899.05,0.11,65.43,134
guaratingueta,SP,96,14751.12,0.11,65.54,135
birigui,SP,78,14611.34,0.11,65.65,136
mage,RJ,106,14316.76,0.11,65.76,137
aparecida de goiania,GO,105,14203.98,0.11,65.87,138
varginha,MG,88,13933.1,0.11,65.98,139
rio branco,AC,69,13852.34,0.1,66.08,140
petrolina,PE,62,13759.1,0.1,66.18,141
criciuma,SC,91,13725.08,0.1,66.29,142
itajuba,MG,92,13667.8,0.1,66.39,143
resende,RJ,115,13390.35,0.1,66.49,144
araras,SP,93,13187.38,0.1,66.59,145
nilopolis,RJ,103,13127.18,0.1,66.69,146
santa barbara d'oeste,SP,118,13072.08,0.1,66.79,147
araxa,MG,75,13046.42,0.1,66.89,148
jaragua do sul,SC,88,12924.66,0.1,66.99,149
lavras,MG,80,12790.960000000001,0.1,67.08,150
olinda,PE,89,12690.08,0.1,67.18,151
caieiras,SP,97,12662.83,0.1,67.28,152
ribeirao das neves,MG,98,12584.54,0.1,67.37,153
ourinhos,SP,77,12543.03,0.09,67.47,154
pindamonhangaba,SP,98,12480.28,0.09,67.56,155
itu,SP,129,12266.34,0.09,67.65,156
itapetininga,SP,77,12232.88,0.09,67.74,157
belford roxo,RJ,104,12205.36,0.09,67.84,158
barbacena,MG,79,12201.44,0.09,67.93,159
assis,SP,84,12199.23,0.09,68.02,160
itatiba,SP,97,12049.31,0.09,68.11,161
linhares,ES,64,11925.11,0.09,68.2,162
mogi-guacu,SP,89,11629.82,0.09,68.29,163
sao joao da boa vista,SP,80,11627.81,0.09,68.38,164
caraguatatuba,SP,83,11603.26,0.09,68.47,165
foz do iguacu,PR,86,11506.380000000001,0.09,68.55,166
amparo,SP,63,11395.73,0.09,68.64,167
macapa,AP,53,11352.43,0.09,68.73,168
lages,SC,83,11281.11,0.09,68.81,169
tatui,SP,72,11281.03,0.09,68.9,170
santa luzia,MG,89,11199.17,0.08,68.98,171
sao leopoldo,RS,103,11037.67,0.08,69.06,172
muriae,MG,63,10949.43,0.08,69.15,173
palhoca,SC,90,10910.460000000001,0.08,69.23,174
araguari,MG,54,10869.52,0.08,69.31,175
barreiras,BA,51,10809.03,0.08,69.39,176
votorantim,SP,84,10757.47,0.08,69.48,177
sobral,CE,33,10648.85,0.08,69.56,178
rondonopolis,MT,64,10644.04,0.08,69.64,179
gaspar,SC,29,10623.34,0.08,69.72,180
tubarao,SC,60,10606.13,0.08,69.8,181
guarapari,ES,66,10494.41,0.08,69.88,182
santa cruz do sul,RS,62,10360.88,0.08,69.95,183
varzea paulista,SP,75,10281.380000000001,0.08,70.03,184
porto seguro,BA,39,10241.09,0.08,70.11,185
salto,SP,89,10184.03,0.08,70.19,186
ribeirao pires,SP,107,10149.63,0.08,70.26,187
franco da rocha,SP,108,10073.2,0.08,70.34,188
itabira,MG,77,10069.51,0.08,70.42,189
toledo,PR,70,10053.64,0.08,70.49,190
jatai,GO,54,10040.37,0.08,70.57,191
cacapava,SP,72,9928.07,0.08,70.64,192
itanhaem,SP,74,9727.09,0.07,70.72,193
cajamar,SP,97,9725.38,0.07,70.79,194
caratinga,MG,62,9690.26,0.07,70.86,195
catanduva,SP,72,9680.83,0.07,70.94,196
jau,SP,73,9460.56,0.07,71.01,197
sao roque,SP,75,9433.18,0.07,71.08,198
rio verde,GO,63,9398.51,0.07,71.15,199
bertioga,SP,47,9385.65,0.07,71.22,200
poa,SP,85,9343.45,0.07,71.29,201
cachoeirinha,RS,72,9297.25,0.07,71.36,202
caruaru,PE,63,9265.7,0.07,71.43,203
lins,SP,54,9162.66,0.07,71.5,204
mesquita,RJ,75,9132.02,0.07,71.57,205
mairipora,SP,75,9087.38,0.07,71.64,206
barretos,SP,69,9077.11,0.07,71.71,207
conselheiro lafaiete,MG,82,9061.460000000001,0.07,71.78,208
pato branco,PR,53,9047.64,0.07,71.85,209
bage,RS,62,8936.64,0.07,71.91,210
vinhedo,SP,90,8895.12,0.07,71.98,211
dourados,MS,63,8849.71,0.07,72.05,212
mogi mirim,SP,75,8833.97,0.07,72.11,213
arapiraca,AL,29,8728.710000000001,0.07,72.18,214
pinhais,PR,66,8682.82,0.07,72.25,215
lauro de freitas,BA,72,8632.98,0.07,72.31,216
pirassununga,SP,69,8550.33,0.06,72.38,217
ilheus,BA,69,8546.76,0.06,72.44,218
manhuacu,MG,64,8510.0,0.06,72.5,219
guarapuava,PR,62,8460.55,0.06,72.57,220
brusque,SC,60,8421.55,0.06,72.63,221
itapecerica da serra,SP,93,8399.01,0.06,72.7,222
avare,SP,63,8382.97,0.06,72.76,223
lagoa santa,MG,58,8378.6,0.06,72.82,224
paracatu,MG,62,8376.42,0.06,72.89,225
votuporanga,SP,63,8372.9,0.06,72.95,226
francisco morato,SP,94,8344.17,0.06,73.01,227
luis eduardo magalhaes,BA,36,8343.87,0.06,73.08,228
jaguariuna,SP,60,8312.47,0.06,73.14,229
jandira,SP,84,8260.47,0.06,73.2,230
ubatuba,SP,72,8195.93,0.06,73.26,231
sao joao del rei,MG,66,8168.07,0.06,73.32,232
leme,SP,50,8152.92,0.06,73.39,233
lajeado,RS,50,8068.41,0.06,73.45,234
itabuna,BA,60,7874.55,0.06,73.51,235
videira,SC,44,7822.35,0.06,73.57,236
teofilo otoni,MG,75,7744.23,0.06,73.62,237
itauna,MG,56,7743.95,0.06,73.68,238
timoteo,MG,52,7697.87,0.06,73.74,239
sao sebastiao,SP,56,7673.46,0.06,73.8,240
lorena,SP,82,7650.03,0.06,73.86,241
aruja,SP,68,7606.78,0.06,73.92,242
nova serrana,MG,49,7447.26,0.06,73.97,243
tres lagoas,MS,42,7431.32,0.06,74.03,244
fernandopolis,SP,52,7415.16,0.06,74.08,245
juazeiro,BA,42,7401.28,0.06,74.14,246
colombo,PR,60,7386.9,0.06,74.2,247
araguaina,TO,38,7384.79,0.06,74.25,248
paranagua,PR,58,7339.46,0.06,74.31,249
parnamirim,RN,57,7305.32,0.06,74.36,250
francisco beltrao,PR,50,7291.58,0.06,74.42,251
campo mourao,PR,56,7259.52,0.05,74.47,252
ibirite,MG,47,7241.58,0.05,74.53,253
camacari,BA,60,7240.24,0.05,74.58,254
tres rios,RJ,38,7172.62,0.05,74.64,255
imperatriz,MA,40,7171.38,0.05,74.69,256
matao,SP,51,7162.72,0.05,74.74,257
para de minas,MG,37,7162.08,0.05,74.8,258
paranavai,PR,45,7120.95,0.05,74.85,259
jacobina,BA,23,7029.76,0.05,74.91,260
cubatao,SP,79,6996.03,0.05,74.96,261
boa vista,RR,40,6967.57,0.05,75.01,262
joao monlevade,MG,50,6941.9,0.05,75.06,263
itapira,SP,52,6933.03,0.05,75.12,264
colatina,ES,63,6866.52,0.05,75.17,265
boituva,SP,47,6852.15,0.05,75.22,266
ponte nova,MG,39,6847.89,0.05,75.27,267
unai,MG,54,6825.39,0.05,75.32,268
pirapora,MG,42,6803.07,0.05,75.37,269
eunapolis,BA,36,6788.61,0.05,75.43,270
navegantes,SC,31,6783.17,0.05,75.48,271
patrocinio,MG,45,6747.54,0.05,75.53,272
sertaozinho,SP,61,6724.2300000000005,0.05,75.58,273
lencois paulista,SP,43,6720.22,0.05,75.63,274
ouro preto,MG,55,6711.56,0.05,75.68,275
juazeiro do norte,CE,31,6698.0,0.05,75.73,276
apucarana,PR,51,6684.36,0.05,75.78,277
cosmopolis,SP,50,6668.9,0.05,75.83,278
bento goncalves,RS,53,6648.58,0.05,75.88,279
varzea grande,MT,37,6630.35,0.05,75.93,280
paracambi,RJ,35,6571.96,0.05,75.98,281
sao mateus,ES,47,6569.97,0.05,76.03,282
itaborai,RJ,56,6555.85,0.05,76.08,283
peruibe,SP,43,6531.12,0.05,76.13,284
paulo afonso,BA,39,6492.59,0.05,76.18,285
tupa,SP,52,6483.03,0.05,76.23,286
viamao,RS,70,6479.31,0.05,76.28,287
erechim,RS,56,6420.89,0.05,76.33,288
valenca,BA,35,6373.59,0.05,76.38,289
uba,MG,53,6369.76,0.05,76.42,290
itapeva,SP,52,6360.2300000000005,0.05,76.47,291
arapongas,PR,32,6325.0599999999995,0.05,76.52,292
andradina,SP,40,6302.53,0.05,76.57,293
osorio,RS,35,6251.24,0.05,76.61,294
alagoinhas,BA,40,6249.23,0.05,76.66,295
embu-guacu,SP,46,6244.68,0.05,76.71,296
primavera do leste,MT,28,6232.81,0.05,76.76,297
alvorada,RS,50,6207.7300000000005,0.05,76.8,298
sinop,MT,43,6164.65,0.05,76.85,299
itaguai,RJ,46,6122.54,0.05,76.9,300
itapema,SC,44,6109.87,0.05,76.94,301
cruzeiro,SP,56,6109.5,0.05,76.99,302
sao miguel do oeste,SC,39,6095.82,0.05,77.03,303
guaxupe,MG,37,6081.17,0.05,77.08,304
esteio,RS,39,6068.71,0.05,77.13,305
mococa,SP,33,6020.97,0.05,77.17,306
vespasiano,MG,41,5953.69,0.05,77.22,307
artur nogueira,SP,40,5949.7,0.05,77.26,308
registro,SP,45,5929.57,0.04,77.31,309
caucaia,CE,35,5856.66,0.04,77.35,310
mirassol,SP,29,5850.89,0.04,77.4,311
queimados,RJ,53,5841.85,0.04,77.44,312
umuarama,PR,40,5770.52,0.04,77.48,313
jaboticabal,SP,50,5747.12,0.04,77.53,314
paulista,PE,41,5736.77,0.04,77.57,315
lucas do rio verde,MT,23,5667.76,0.04,77.61,316
olimpia,SP,36,5643.54,0.04,77.66,317
ijui,RS,52,5584.45,0.04,77.7,318
itaperuna,RJ,46,5563.58,0.04,77.74,319
batatais,SP,27,5559.93,0.04,77.78,320
concordia,SC,47,5503.59,0.04,77.82,321
valparaiso de goias,GO,37,5437.85,0.04,77.86,322
ituiutaba,MG,53,5431.17,0.04,77.91,323
guaiba,RS,31,5417.51,0.04,77.95,324
sapucaia do sul,RS,39,5397.84,0.04,77.99,325
adamantina,SP,35,5393.07,0.04,78.03,326
arcos,MG,25,5391.7300000000005,0.04,78.07,327
catalao,GO,33,5354.04,0.04,78.11,328
alfenas,MG,43,5350.32,0.04,78.15,329
santo angelo,RS,45,5333.46,0.04,78.19,330
caldas novas,GO,36,5301.63,0.04,78.23,331
santarem,PA,43,5287.67,0.04,78.27,332
formosa,GO,34,5282.15,0.04,78.31,333
balsas,MA,17,5274.43,0.04,78.35,334
curvelo,MG,42,5248.01,0.04,78.39,335
gurupi,TO,24,5229.29,0.04,78.43,336
mongagua,SP,41,5212.53,0.04,78.47,337
arraial do cabo,RJ,28,5176.55,0.04,78.51,338
altamira,PA,25,5168.15,0.04,78.55,339
rolandia,PR,24,5133.94,0.04,78.59,340
sao jose do rio pardo,SP,44,5106.24,0.04,78.62,341
itupeva,SP,42,5101.71,0.04,78.66,342
santo antonio da patrulha,RS,17,5100.08,0.04,78.7,343
itumbiara,GO,35,5092.22,0.04,78.74,344
santo antonio de padua,RJ,30,5090.91,0.04,78.78,345
araucaria,PR,54,5086.1,0.04,78.82,346
uniao da vitoria,PR,29,5081.93,0.04,78.86,347
barra do pirai,RJ,49,5059.2,0.04,78.89,348
pedro leopoldo,MG,40,5057.01,0.04,78.93,349
mandaguari,PR,18,5039.15,0.04,78.97,350
santo antonio de posse,SP,20,5027.89,0.04,79.01,351
itabirito,MG,28,5012.23,0.04,79.05,352
bebedouro,SP,51,4992.89,0.04,79.08,353
salinas,MG,22,4986.7699999999995,0.04,79.12,354
tucurui,PA,16,4976.7,0.04,79.16,355
campo novo do parecis,MT,15,4915.79,0.04,79.2,356
montenegro,RS,32,4910.6,0.04,79.23,357
tremembe,SP,38,4876.03,0.04,79.27,358
sao bento do sul,SC,44,4869.9,0.04,79.31,359
cianorte,PR,39,4863.67,0.04,79.34,360
armacao dos buzios,RJ,28,4817.41,0.04,79.38,361
maracanau,CE,31,4813.33,0.04,79.42,362
sao sebastiao do paraiso,MG,35,4800.05,0.04,79.45,363
bom jesus do galho,MG,4,4795.29,0.04,79.49,364
rio do sul,SC,35,4777.85,0.04,79.53,365
louveira,SP,44,4777.82,0.04,79.56,366
penapolis,SP,37,4776.58,0.04,79.6,367
campo limpo paulista,SP,47,4773.44,0.04,79.63,368
luziania,GO,33,4761.46,0.04,79.67,369
caceres,MT,25,4750.19,0.04,79.71,370
joacaba,SC,26,4721.0,0.04,79.74,371
corumba,MS,27,4700.17,0.04,79.78,372
juina,MT,17,4695.32,0.04,79.81,373
telemaco borba,PR,34,4693.49,0.04,79.85,374
capao da canoa,RS,38,4692.09,0.04,79.88,375
jequie,BA,34,4687.84,0.04,79.92,376
bom despacho,MG,38,4680.53,0.04,79.95,377
sao pedro da aldeia,RJ,46,4672.43,0.04,79.99,378
simoes filho,BA,21,4671.4800000000005,0.04,80.03,379
capivari,SP,32,4663.71,0.04,80.06,380
piraju,SP,17,4659.09,0.04,80.1,381
fazenda rio grande,PR,29,4655.49,0.04,80.13,382
mossoro,RN,35,4635.47,0.04,80.17,383
vargem grande paulista,SP,43,4634.55,0.04,80.2,384
santa barbara,MG,25,4608.21,0.03,80.24,385
taquaritinga,SP,33,4604.03,0.03,80.27,386
canoinhas,SC,27,4583.01,0.03,80.31,387
cacador,SC,40,4569.38,0.03,80.34,388
dracena,SP,27,4538.05,0.03,80.37,389
saquarema,RJ,45,4534.05,0.03,80.41,390
monte mor,SP,38,4517.2,0.03,80.44,391
tres coracoes,MG,41,4493.83,0.03,80.48,392
alegrete,RS,35,4483.77,0.03,80.51,393
vassouras,RJ,36,4481.9,0.03,80.54,394
sabara,MG,42,4481.78,0.03,80.58,395
cachoeira do sul,RS,30,4480.32,0.03,80.61,396
cataguases,MG,32,4474.87,0.03,80.65,397
extrema,MG,39,4473.03,0.03,80.68,398
japeri,RJ,34,4458.27,0.03,80.71,399
taquara,RS,21,4427.54,0.03,80.75,400
ouro branco,MG,41,4419.23,0.03,80.78,401
mariana,MG,33,4416.58,0.03,80.81,402
uruguaiana,RS,47,4414.06,0.03,80.85,403
formiga,MG,32,4407.94,0.03,80.88,404
seropedica,RJ,33,4391.15,0.03,80.91,405
taio,SC,14,4366.2300000000005,0.03,80.95,406
nova odessa,SP,37,4352.71,0.03,80.98,407
rio bonito,RJ,27,4352.11,0.03,81.01,408
pacatuba,CE,5,4317.98,0.03,81.05,409
sao joaquim da barra,SP,34,4302.49,0.03,81.08,410
santo antonio de jesus,BA,29,4296.86,0.03,81.11,411
carangola,MG,25,4281.27,0.03,81.14,412
campo bom,RS,35,4264.81,0.03,81.18,413
almirante tamandare,PR,35,4255.69,0.03,81.21,414
santana do livramento,RS,20,4248.23,0.03,81.24,415
passos,MG,43,4247.28,0.03,81.27,416
sao lourenco,MG,32,4207.99,0.03,81.3,417
promissao,SP,31,4189.85,0.03,81.34,418
guanambi,BA,36,4189.81,0.03,81.37,419
monte alegre do sul,SP,6,4181.79,0.03,81.4,420
xanxere,SC,29,4175.87,0.03,81.43,421
coronel fabriciano,MG,40,4149.2,0.03,81.46,422
ariquemes,RO,13,4124.97,0.03,81.49,423
tiete,SP,35,4111.22,0.03,81.52,424
parauapebas,PA,27,4092.06,0.03,81.55,425
trindade,PE,4,4084.8,0.03,81.59,426
santa vitoria,MG,17,4083.77,0.03,81.62,427
barra do garcas,MT,25,4076.2000000000003,0.03,81.65,428
andradas,MG,12,4070.31,0.03,81.68,429
aracruz,ES,40,4064.07,0.03,81.71,430
pereira barreto,SP,18,4044.82,0.03,81.74,431
ponta pora,MS,18,4038.5099999999998,0.03,81.77,432
patos,PB,16,4036.65,0.03,81.8,433
abaetetuba,PA,11,4028.57,0.03,81.83,434
orlandia,SP,28,4027.32,0.03,81.86,435
alvares machado,SP,8,4022.57,0.03,81.89,436
carmo do paranaiba,MG,16,4008.64,0.03,81.92,437
timbo,SC,20,3957.67,0.03,81.95,438
garanhuns,PE,30,3948.48,0.03,81.98,439
santa fe do sul,SP,34,3945.77,0.03,82.01,440
valenca,RJ,27,3940.46,0.03,82.04,441
cambe,PR,27,3930.67,0.03,82.07,442
itarare,SP,28,3915.3,0.03,82.1,443
santa rita do sapucai,MG,35,3910.7,0.03,82.13,444
parnaiba,PI,22,3910.11,0.03,82.16,445
tangara da serra,MT,23,3905.7,0.03,82.19,446
barra bonita,SP,28,3902.43,0.03,82.22,447
campo largo,PR,36,3849.9900000000002,0.03,82.25,448
russas,CE,9,3843.8700000000003,0.03,82.28,449
guacui,ES,16,3797.29,0.03,82.31,450
ituverava,SP,28,3748.7400000000002,0.03,82.33,451
catole do rocha,PB,6,3742.59,0.03,82.36,452
aparecida,SP,25,3740.96,0.03,82.39,453
ipanema,MG,7,3727.77,0.03,82.42,454
martinopolis,SP,8,3708.09,0.03,82.45,455
piumhii,MG,28,3707.31,0.03,82.48,456
cerqueira cesar,SP,18,3701.52,0.03,82.5,457
guaira,SP,36,3698.54,0.03,82.53,458
sao pedro,SP,12,3683.54,0.03,82.56,459
panambi,RS,17,3640.9900000000002,0.03,82.59,460
castanhal,PA,21,3628.62,0.03,82.61,461
miguel pereira,RJ,28,3602.2,0.03,82.64,462
maraba,PA,22,3597.17,0.03,82.67,463
iguatu,CE,14,3538.29,0.03,82.7,464
posse,GO,15,3520.35,0.03,82.72,465
tijucas,SC,30,3504.74,0.03,82.75,466
pires do rio,GO,12,3500.83,0.03,82.78,467
alta floresta,MT,12,3495.55,0.03,82.8,468
januaria,MG,22,3471.23,0.03,82.83,469
marechal candido rondon,PR,30,3469.71,0.03,82.85,470
casimiro de abreu,RJ,20,3458.33,0.03,82.88,471
ibiuna,SP,31,3439.52,0.03,82.91,472
trindade,GO,24,3425.57,0.03,82.93,473
campo formoso,BA,10,3419.13,0.03,82.96,474
ji-parana,RO,17,3412.04,0.03,82.98,475
bom jesus do itabapoana,RJ,20,3405.91,0.03,83.01,476
dois irmaos,RS,17,3398.76,0.03,83.04,477
teixeira de freitas,BA,28,3386.18,0.03,83.06,478
mineiros,GO,25,3379.3,0.03,83.09,479
sapiranga,RS,23,3375.7,0.03,83.11,480
viana,ES,21,3371.82,0.03,83.14,481
itapolis,SP,28,3363.99,0.03,83.16,482
sorriso,MT,20,3342.75,0.03,83.19,483
indaial,SC,26,3334.7400000000002,0.03,83.21,484
espera feliz,MG,19,3315.75,0.03,83.24,485
frutal,MG,24,3310.46,0.03,83.26,486
picos,PI,17,3300.43,0.02,83.29,487
cerquilho,SP,30,3299.91,0.02,83.31,488
sao luiz gonzaga,RS,15,3298.01,0.02,83.34,489
cachoeira paulista,SP,25,3292.0,0.02,83.36,490
nova xavantina,MT,10,3274.69,0.02,83.39,491
biguacu,SC,22,3270.23,0.02,83.41,492
trindade do sul,RS,4,3266.99,0.02,83.44,493
bacabal,MA,11,3243.71,0.02,83.46,494
ipira,BA,6,3232.78,0.02,83.49,495
ituporanga,SC,15,3225.1600000000003,0.02,83.51,496
mandaguacu,PR,4,3222.0,0.02,83.54,497
farroupilha,RS,27,3213.03,0.02,83.56,498
valente,BA,9,3209.58,0.02,83.58,499
serra negra,SP,13,3202.53,0.02,83.61,500
campos do jordao,SP,25,3201.1,0.02,83.63,501
itapaje,CE,6,3198.68,0.02,83.66,502
ilhabela,SP,44,3180.38,0.02,83.68,503
ibiruba,RS,20,3155.8,0.02,83.7,504
guapore,RS,18,3153.15,0.02,83.73,505
cambui,MG,22,3133.7400000000002,0.02,83.75,506
itabaiana,SE,15,3125.77,0.02,83.78,507
gramado,RS,29,3123.34,0.02,83.8,508
quata,SP,12,3119.56,0.02,83.82,509
crato,CE,18,3100.66,0.02,83.85,510
aguas de lindoia,SP,22,3092.59,0.02,83.87,511
capao bonito,SP,28,3078.97,0.02,83.89,512
juquitiba,SP,21,3073.87,0.02,83.92,513
camboriu,SC,27,3058.19,0.02,83.94,514
sao manuel,SP,20,3052.39,0.02,83.96,515
ibotirama,BA,7,3032.39,0.02,83.99,516
porto uniao,SC,14,3023.65,0.02,84.01,517
pederneiras,SP,21,3007.07,0.02,84.03,518
macatuba,SP,12,2984.64,0.02,84.05,519
cicero dantas,BA,9,2974.15,0.02,84.08,520
porto feliz,SP,21,2974.07,0.02,84.1,521
santo amaro da imperatriz,SC,11,2972.31,0.02,84.12,522
imbituba,SC,31,2968.47,0.02,84.14,523
guapimirim,RJ,21,2967.26,0.02,84.17,524
barrinha,SP,18,2965.14,0.02,84.19,525
braco do norte,SC,20,2962.47,0.02,84.21,526
janauba,MG,16,2952.26,0.02,84.23,527
paraiba do sul,RJ,18,2949.57,0.02,84.26,528
presidente venceslau,SP,22,2940.19,0.02,84.28,529
congonhas,MG,30,2938.61,0.02,84.3,530
santa rosa,RS,32,2922.14,0.02,84.32,531
garca,SP,27,2918.41,0.02,84.34,532
jales,SP,28,2918.15,0.02,84.37,533
ibitinga,SP,22,2911.26,0.02,84.39,534
marataizes,ES,16,2907.27,0.02,84.41,535
pedreira,SP,36,2893.6,0.02,84.43,536
monte azul paulista,SP,19,2887.91,0.02,84.45,537
